time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-01-10T19:22:24.050,40.4693333,-124.8018333,21.957,2.66,md,40,247,0.3541,0.14,nc,nc71338656,2017-01-21T18:07:53.021,offshore Northern California,earthquake,0.43,1.43,0.192,46,reviewed,nc,nc
2010-01-10T20:51:46.230,40.5571667,-124.817,11.927,2.69,md,27,256,0.3739,0.09,nc,nc71338686,2017-01-21T18:08:25.041,offshore Northern California,earthquake,0.86,0.87,0.175,35,reviewed,nc,nc
2010-01-10T21:17:04.810,40.4878333,-124.8585,23.177,2.65,md,40,242,0.3973,0.22,nc,nc71338696,2017-01-21T18:08:36.000,offshore Northern California,earthquake,1.51,10.72,0.212,30,reviewed,nc,nc
2010-01-10T21:19:16.060,40.5963333,-125.0686667,24.597,2.52,md,22,272,0.5694,0.24,nc,nc71338701,2017-01-21T18:08:41.913,offshore Northern California,earthquake,1.34,17.21,0.292,23,reviewed,nc,nc
2010-01-10T23:22:51.140,40.518,-124.8403333,19.137,2.66,md,24,265,0.3856,0.09,nc,nc71338736,2017-01-21T18:09:13.104,offshore Northern California,earthquake,1.71,0.87,0.218,28,reviewed,nc,nc
2010-01-11T06:30:16.250,40.578,-124.7715,22.66,2.69,md,26,247,0.3459,0.17,nc,nc71338841,2017-01-21T18:11:02.059,offshore Northern California,earthquake,0.93,3.9,0.19,32,reviewed,nc,nc
2010-01-11T06:44:37.890,40.4626667,-124.8486667,23.561,4.05,mw,68,228,0.3901,0.19,nc,nc71338851,2017-03-17T21:29:40.270,offshore Northern California,earthquake,0.47,5.52,,4,reviewed,nc,nc
2010-01-11T11:21:30.780,40.657,-124.6733333,26.15,3.12,ml,23,241,0.3135,0.05,nc,nc71338971,2017-01-21T18:13:50.129,offshore Northern California,earthquake,0.75,1.93,0.124,12,reviewed,nc,nc
2010-01-11T14:37:56.130,40.4241667,-124.7768333,25.08,2.81,md,19,246,0.3387,0.18,nc,nc71339021,2017-01-21T18:14:52.542,offshore Northern California,earthquake,0.76,4.22,0.142,19,reviewed,nc,nc
2010-01-12T02:53:36.370,40.5075,-124.882,14.078,3.18,ml,37,243,0.4162,0.16,nc,nc71339301,2017-01-21T18:17:44.737,offshore Northern California,earthquake,1.39,0.69,0.165,17,reviewed,nc,nc
2010-01-12T18:24:08.580,40.5126667,-124.8366667,18.568,2.98,md,24,265,0.382,0.16,nc,nc71339546,2017-01-21T18:22:42.560,offshore Northern California,earthquake,0.78,1.06,0.269,27,reviewed,nc,nc
2010-01-13T06:34:54.830,40.5255,-124.9175,16.261,3.15,ml,11,270,0.445,0.05,nc,nc71339716,2017-01-21T18:24:57.858,offshore Northern California,earthquake,1.88,1.1,0.179,11,reviewed,nc,nc
